word,doc_ids
hacker,"[0, 1, 10, 11]"
news,"[0, 1, 10]"
new,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 14, 15, 17, 18, 19]"
past,"[0, 1, 6, 7, 15, 16]"
comment,"[0, 1, 2, 9, 12, 15]"
ask,"[0, 1, 10, 11, 15]"
show,"[0, 1, 4, 7, 9, 11, 15, 17]"
job,"[0, 1, 19, 6]"
submit,"[0, 1, 4, 9, 10, 14, 17, 18]"
login,"[0, 1, 10]"
attent,"[0, 1, 2, 4, 14]"
media,"[0, 1, 2, 10, 11, 19]"
social,"[0, 1, 2, 11, 19]"
network,"[0, 1, 2, 10, 17]"
point,"[0, 1, 4, 6, 9, 14, 15, 18, 19]"
susam,"[0, 1, 2]"
hour,"[0, 1, 15]"
ago,"[0, 1, 2, 10]"
hide,"[0, 1, 10, 4]"
fix,"[0, 1, 3, 4, 7, 9, 11, 14, 15, 17, 18, 19]"
tool,"[0, 1, 3, 4, 9, 10, 11, 14, 15, 17, 18, 19]"
vinhnx,"[0, 1]"
fresh,"[0, 1, 4]"
file,"[0, 1, 4, 6, 7, 9, 10, 14, 15, 17, 18]"
explor,"[0, 1, 4, 10, 14, 17, 18]"
vs,"[0, 1, 4, 6, 9, 10, 14]"
code,"[0, 1, 3, 4, 6, 9, 10, 11, 14, 15, 17, 18, 19]"
extens,"[0, 1, 4, 6, 14]"
navig,"[0, 1, 4, 7, 10, 11, 14, 16, 17, 18]"
recent,"[0, 1, 4, 6, 7, 10, 12]"
work,"[0, 1, 2, 4, 6, 7, 9, 10, 11, 14, 15, 17, 18, 19]"
frehu,"[0, 1, 4]"
hn,"[0, 1]"
mahjong,"[0, 1, 5]"
built,"[0, 1, 2, 15, 18]"
css,"[0, 1, 5, 12, 17]"
rofko,"[0, 1]"
linuxul,"[0, 1, 6]"
freebsd,"[0, 1, 6]"
feel,"[0, 1, 2, 3, 6, 19]"
like,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 15, 19]"
magic,"[0, 1, 6, 9, 15]"
vermaden,"[0, 1]"
minut,"[0, 1, 6, 10, 15]"
databas,"[0, 1, 7, 16, 19]"
transact,"[0, 1, 7]"
xweather,"[0, 1, 8]"
live,"[0, 1, 6, 8, 9, 11, 17, 19]"
interact,"[0, 1, 2, 9, 11, 14, 19]"
global,"[0, 1, 6, 9, 10]"
vector,"[0, 1, 12]"
weather,"[0, 1, 8, 11, 19]"
map,"[0, 1, 4, 8, 9, 10, 11, 12, 14]"
unstyledcont,"[0, 1]"
git,"[0, 1, 4, 9, 15, 18]"
chmaynard,"[0, 1]"
back,"[0, 1, 2, 4, 6, 10, 11, 12, 15]"
part,"[0, 1, 2, 9, 10, 11, 15]"
enz,"[0, 1]"
intern,"[0, 1, 11]"
awar,"[0, 1]"
day,"[0, 1, 2, 4, 6, 7, 10, 11, 19]"
hisamafahri,"[0, 1]"
discuss,"[0, 1, 7, 10, 12, 19]"
hid,"[0, 1, 10]"
backdoor,"[0, 1, 10]"
binari,"[0, 1, 6, 9, 10]"
ai,"[0, 1, 2, 4, 10, 11, 12, 14, 15, 17, 18]"
ghidra,"[0, 1, 10]"
find,"[0, 1, 2, 3, 4, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19]"
jakozaur,"[0, 1]"
nanoclaw,"[0, 1]"
move,"[0, 1, 4, 7, 9, 10, 15, 19]"
appl,"[0, 1, 6]"
contain,"[0, 1, 2, 4, 10, 11, 18, 19]"
docker,"[0, 1, 9]"
simplesort,"[0, 1]"
man,"[0, 1, 11]"
accident,"[0, 1, 11, 4]"
gain,"[0, 1, 11, 19]"
control,"[0, 1, 4, 7, 9, 10, 11, 14, 15, 17]"
robot,"[0, 1, 2, 11]"
vacuum,"[0, 1, 11, 7]"
brajeshwar,"[0, 1]"
monkey,"[0, 1, 11]"
patch,"[0, 1, 11, 14, 15]"
vba,"[0, 1]"
taala,"[0, 1, 12]"
print,"[0, 1, 12, 16]"
llm,"[0, 1, 10, 12, 14, 17]"
onto,"[0, 1, 12]"
chip,"[0, 1, 12]"
bearoundher,"[0, 1]"
gamed,"[0, 1, 13]"
site,"[0, 1, 11, 17]"
reviv,"[0, 1, 13]"
dead,"[0, 1, 10, 13]"
multiplay,"[0, 1]"
game,"[0, 1, 5, 10, 11, 13, 19]"
